humidity,salinity,temperature,pH,corrosion_rate
45,800,20,7.2,0.4
50,1000,25,7.0,0.5
55,1200,28,6.8,0.6
60,1500,30,6.5,0.7
65,1800,32,6.3,0.8
70,2000,35,6.0,0.9
75,2200,37,6.2,1.0
80,2500,40,6.5,1.2
85,2700,42,6.8,1.3
90,3000,45,7.0,1.5
40,700,18,7.5,0.3
48,950,22,7.1,0.45
52,1100,26,6.9,0.55
58,1400,29,6.6,0.65
63,1600,31,6.4,0.75
68,1900,34,6.2,0.85
73,2100,36,6.1,0.95
78,2400,39,6.3,1.1
83,2600,41,6.6,1.25
88,2900,44,6.9,1.4
42,750,19,7.4,0.35
47,900,23,7.2,0.48
53,1150,27,6.7,0.58
59,1450,30,6.5,0.68
64,1700,33,6.3,0.78
69,1950,35,6.1,0.88
74,2150,38,6.2,1.05
79,2450,40,6.4,1.15
84,2650,43,6.7,1.3
89,2950,46,7.0,1.45
